sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link6_sensor_6,link6,grasp_lift,859,859,1.0,0.26542491268917345
link6_sensor_6,link6,transit,328,328,1.0,0.20121951219512196
link6_sensor_6,link6,place,397,397,1.0,0.020151133501259445
link6_sensor_6,link6,post_place,1245,1245,1.0,0.0393574297188755
link6_sensor_6,link6,unknown,470,470,1.0,0.07021276595744681
link6_sensor_7,link6,approach,92,82,0.8913043478260869,0.024390243902439025
link6_sensor_7,link6,pregrasp,574,574,1.0,0.0
link6_sensor_7,link6,grasp_lift,859,859,1.0,0.033760186263096625
link6_sensor_7,link6,transit,328,325,0.9908536585365854,0.0
link6_sensor_7,link6,place,397,396,0.9974811083123426,0.0025252525252525255
link6_sensor_7,link6,post_place,1245,1240,0.9959839357429718,0.0008064516129032258
link6_sensor_7,link6,unknown,470,470,1.0,0.0
