sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link6_sensor_2,link6,post_place,2329,2307,0.9905538857878918,0.1846553966189857
link6_sensor_2,link6,unknown,871,871,1.0,0.11366245694603903
link6_sensor_3,link6,approach,175,168,0.96,0.35119047619047616
link6_sensor_3,link6,pregrasp,685,680,0.9927007299270073,0.19117647058823528
link6_sensor_3,link6,grasp_lift,1986,1986,1.0,0.32326283987915405
link6_sensor_3,link6,transit,559,559,1.0,0.3005366726296959
link6_sensor_3,link6,place,698,698,1.0,0.36103151862464183
link6_sensor_3,link6,post_place,2329,2329,1.0,0.24645770717045942
link6_sensor_3,link6,unknown,871,871,1.0,0.16991963260619977
link6_sensor_4,link6,approach,175,168,0.96,0.27976190476190477
link6_sensor_4,link6,pregrasp,685,680,0.9927007299270073,0.1411764705882353
link6_sensor_4,link6,grasp_lift,1986,1986,1.0,0.3217522658610272
link6_sensor_4,link6,transit,559,559,1.0,0.26475849731663686
link6_sensor_4,link6,place,698,698,1.0,0.3037249283667622
link6_sensor_4,link6,post_place,2329,2325,0.9982825246887076,0.18451612903225806
link6_sensor_4,link6,unknown,871,871,1.0,0.07577497129735936
link6_sensor_5,link6,approach,175,163,0.9314285714285714,0.27607361963190186
link6_sensor_5,link6,pregrasp,685,680,0.9927007299270073,0.14558823529411766
link6_sensor_5,link6,grasp_lift,1986,1986,1.0,0.365055387713998
link6_sensor_5,link6,transit,559,559,1.0,0.2880143112701252
link6_sensor_5,link6,place,698,674,0.9656160458452722,0.2952522255192878
link6_sensor_5,link6,post_place,2329,2309,0.991412623443538,0.1866608921611087
link6_sensor_5,link6,unknown,871,871,1.0,0.07577497129735936
link6_sensor_6,link6,approach,175,168,0.96,0.3392857142857143
link6_sensor_6,link6,pregrasp,685,680,0.9927007299270073,0.16911764705882354
link6_sensor_6,link6,grasp_lift,1986,1986,1.0,0.31822759315206445
link6_sensor_6,link6,transit,559,559,1.0,0.16815742397137745
link6_sensor_6,link6,place,698,698,1.0,0.2679083094555874
link6_sensor_6,link6,post_place,2329,2326,0.9987118935165307,0.1706792777300086
link6_sensor_6,link6,unknown,871,871,1.0,0.07577497129735936
link6_sensor_7,link6,approach,175,168,0.96,0.2261904761904762
link6_sensor_7,link6,pregrasp,685,680,0.9927007299270073,0.16470588235294117
link6_sensor_7,link6,grasp_lift,1986,1986,1.0,0.26535750251762336
link6_sensor_7,link6,transit,559,559,1.0,0.20214669051878353
link6_sensor_7,link6,place,698,698,1.0,0.22779369627507162
link6_sensor_7,link6,post_place,2329,2329,1.0,0.19364534134821812
link6_sensor_7,link6,unknown,871,871,1.0,0.16991963260619977
