sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link6_sensor_6,link6,pregrasp,462,462,1.0,0.0021645021645021645
link6_sensor_6,link6,grasp_lift,838,838,1.0,0.0011933174224343676
link6_sensor_6,link6,transit,340,340,1.0,0.0
link6_sensor_6,link6,place,394,394,1.0,0.06345177664974619
link6_sensor_6,link6,post_place,1245,1245,1.0,0.01606425702811245
link6_sensor_6,link6,unknown,495,495,1.0,0.0
link6_sensor_7,link6,approach,90,76,0.8444444444444444,0.19736842105263158
link6_sensor_7,link6,pregrasp,462,462,1.0,0.1038961038961039
link6_sensor_7,link6,grasp_lift,838,838,1.0,0.06921241050119331
link6_sensor_7,link6,transit,340,340,1.0,0.07941176470588235
link6_sensor_7,link6,place,394,394,1.0,0.19796954314720813
link6_sensor_7,link6,post_place,1245,1245,1.0,0.13975903614457832
link6_sensor_7,link6,unknown,495,495,1.0,0.06666666666666667
