sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link6_sensor_5,link6,post_place,1245,1245,1.0,0.013654618473895583
link6_sensor_5,link6,unknown,495,495,1.0,0.0
link6_sensor_6,link6,approach,91,77,0.8461538461538461,0.012987012987012988
link6_sensor_6,link6,pregrasp,535,535,1.0,0.009345794392523364
link6_sensor_6,link6,grasp_lift,820,820,1.0,0.2097560975609756
link6_sensor_6,link6,transit,359,359,1.0,0.027855153203342618
link6_sensor_6,link6,place,385,385,1.0,0.0
link6_sensor_6,link6,post_place,1245,1245,1.0,0.0
link6_sensor_6,link6,unknown,495,495,1.0,0.0
link6_sensor_7,link6,approach,91,77,0.8461538461538461,0.0
link6_sensor_7,link6,pregrasp,535,530,0.9906542056074766,0.0018867924528301887
link6_sensor_7,link6,grasp_lift,820,772,0.9414634146341463,0.0025906735751295338
link6_sensor_7,link6,transit,359,350,0.9749303621169917,0.017142857142857144
link6_sensor_7,link6,place,385,385,1.0,0.0
link6_sensor_7,link6,post_place,1245,1239,0.9951807228915662,0.012106537530266344
link6_sensor_7,link6,unknown,495,495,1.0,0.0
